,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
14251,37256742,Hostel casa da Vó (sepetiba) Quarto compartilhado,18674796,Sharlys,Sepetiba,-22.9669,-43.68991,Quarto Inteiro,60,1,0,2,6
14252,37258407,"Casa ao lado da Barra da Tijuca, bairro tranquilo!",73439269,Bruna,Anil,-22.95585,-43.33775,Espaço Inteiro,300,2,1,1,365
14253,37258425,Sensacional Boutique Apt Beach Front  - Posto 4,26161863,Costa,Barra da Tijuca,-23.00864,-43.33076,Espaço Inteiro,1086,5,20,3,15
14254,37263914,Aconchegante apartamento estilo casa na Gávea,21528664,Beatriz,Gávea,-22.97596,-43.22851,Espaço Inteiro,954,2,12,1,116
14255,37266847,Private suite with balcony on Gigoia Island,17108927,Emel,Barra da Tijuca,-23.00281,-43.30816,Quarto Inteiro,213,2,4,4,342
14256,37275578,Lindo Flat Vista Mar - Barra da Tijuca 1207-1,46664224,Rafael,Barra da Tijuca,-23.00374,-43.34167,Espaço Inteiro,415,3,42,25,97
14257,37276654,Lindo Flat vista Mar - Barra da Tijuca 1207-2,46664224,Rafael,Barra da Tijuca,-23.00418,-43.34115,Espaço Inteiro,352,2,39,25,75
14258,37288444,"Apartamento arejado, 3 quartos, 3 banhos Flamengo!",280722259,Gustavo,Flamengo,-22.93211,-43.1768,Espaço Inteiro,650,2,3,2,170
14259,37289410,ÓTIMO CONJUGADO EM COPANEMA -RECEM REFORMADO,46226066,Alvar Mario,Copacabana,-22.98222,-43.19275,Espaço Inteiro,307,2,79,6,129
14260,37289899,Hostel Vista do Mar 201/01,220255859,Nevinha,Vidigal,-22.99735,-43.23922,Quarto Compartilhado,116,2,0,11,79
14261,37290367,Apartamento BARRA DA TIJUCA,248186495,Fernanda,Barra da Tijuca,-23.00782,-43.42952,Quarto Compartilhado,214,1,0,3,365
14262,37329724,ACONCHEGANTE VISTA MAR 6 PESSOAS.,250150443,Bebeu,Copacabana,-22.96394,-43.17509,Espaço Inteiro,544,2,57,1,154
14263,37331144,Studio na Lapa / Centro,39135642,Juliana,Centro,-22.91414,-43.18538,Espaço Inteiro,191,1,25,3,322
14264,37349345,LEBLON ACEROLA,60298129,Danide,Leblon,-22.98293,-43.22933,Espaço Inteiro,2171,2,1,29,327
14265,37351384,Apartamento de 3 quartos e 3 banheiros,280722259,Gustavo,Flamengo,-22.9301,-43.17543,Espaço Inteiro,450,30,0,2,356
14266,37352190,Apartamento aconchegante com vista para o mar,31935801,Lidia/Ana Claudia,Barra da Tijuca,-23.01126,-43.33523,Espaço Inteiro,429,3,3,2,136
14267,37355171,Cozy and Charming Apartment 2Bedrooms w/balcony,281434477,Caio,Barra da Tijuca,-23.0043,-43.42943,Espaço Inteiro,747,4,16,2,261
14268,37356451,Suíte deluxe com varanda ampla & vista,17108927,Emel,Barra da Tijuca,-23.00329,-43.30804,Quarto Inteiro,211,2,1,4,341
